COUNTYNAME,2511,2512,2521,2522,2531,2539,2541,2542,2543,2544,2549,2591,2592,2599,Total
宜蘭縣,19,22,2,4,9,16,27,5,4,1,3,0,0,5,117
花蓮縣,5,5,1,1,0,6,1,0,0,0,0,0,0,0,19
南投縣,41,16,0,38,20,8,6,0,7,2,6,1,4,0,149
屏東縣,36,39,5,28,9,25,32,4,10,2,4,2,20,5,221
苗栗縣,84,42,12,13,24,60,26,6,28,0,1,28,8,7,339
桃園市,600,370,34,107,162,188,78,41,308,24,7,6,104,22,2051
高雄市,413,421,35,63,155,119,64,45,312,41,12,2,726,17,2425
基隆市,9,7,0,2,0,5,4,0,2,0,1,0,0,0,30
雲林縣,185,81,6,6,8,76,27,6,11,2,4,0,10,7,429
新北市,1440,341,41,294,246,194,64,132,1164,37,14,6,335,22,4330
新竹市,53,32,7,5,6,15,1,9,46,0,0,1,2,0,177
新竹縣,89,48,3,13,22,34,11,2,30,3,1,1,6,1,264
嘉義市,40,13,2,15,2,7,3,9,4,2,0,0,4,1,102
嘉義縣,72,38,10,21,13,36,10,9,14,3,1,0,20,4,251
彰化縣,1602,346,47,346,294,216,103,151,348,24,18,0,206,10,3711
臺中市,1864,549,53,1122,353,392,112,80,712,62,27,10,224,24,5584
臺北市,36,13,0,7,2,43,2,2,11,2,0,0,3,0,121
臺東縣,8,6,0,1,2,21,0,0,0,0,0,0,0,0,38
臺南市,559,251,20,87,215,119,46,38,390,38,3,5,187,24,1982
